Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
76658,"On a Pale Horse (Incarnations of Immortality, #1)",Piers Anthony,"Anthony, Piers",,"=""0345338588""","=""9780345338587""",2,4.13,Del Rey,Mass Market Paperback,325,1986,1983,,2014/10/11,,,read,,,,,,,0,,,,,
79790,Magical Thinking: True Stories,Augusten Burroughs,"Burroughs, Augusten",,"=""0312315953""","=""9780312315955""",3,3.96,Picador,Paperback,304,2005,2004,,2014/10/11,,,read,,,,,,,0,,,,,
3110,Assassination Vacation,Sarah Vowell,"Vowell, Sarah",,"=""074326004X""","=""9780743260046""",3,3.98,Simon & Schuster,Paperback,270,2006,2005,,2014/08/28,,,read,,,,,,,0,,,,,
5439,Interpreter of Maladies,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""0618101365""","=""9780618101368""",3,4.12,Houghton Mifflin Harcourt,Paperback,198,2000,1999,,2014/08/25,,,read,,,,,,,0,,,,,
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",Lucia Graves,"=""0143034901""","=""9780143034902""",4,4.24,Penguin Books,Paperback,487,2005,2001,,2014/08/24,,,read,,,,,,,0,,,,,
49834,"Wizard (Gaea, #2)",John Varley,"Varley, John",,"=""0441900674""","=""9780441900671""",3,4.04,Ace,Paperback,384,1987,1979,,2014/08/22,,,read,,,,,,,0,,,,,
19288239,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0385352107""","=""9780385352109""",4,3.82,Knopf Publishing Group,Hardcover,386,2014,2013,,2014/08/16,,,read,,,,,,,0,,,,,
19103097,"The Magician's Land (The Magicians, #3)",Lev Grossman,"Grossman, Lev",,"=""""","=""""",3,4.16,Plume,Kindle Edition,402,2014,2014,,2014/08/05,,,read,,,,,,,0,,,,,
4953,A Heartbreaking Work of Staggering Genius,Dave Eggers,"Eggers, Dave",,"=""0375725784""","=""9780375725784""",4,3.68,Vintage,Paperback,485,2001,2000,,2014/08/03,,,read,,,,,,,0,,,,,
1695972,Wild East: Stories from the Last Frontier,Boris Fishman,"Fishman, Boris",,"=""0812973178""","=""9780812973174""",1,3.63,Random House Trade Paperbacks,Paperback,288,2004,2003,,2014/06/30,,,read,,,,,,,0,,,,,
186337,The Persistence of Vision,John Varley,"Varley, John",,"=""0441662218""","=""9780441662210""",3,4.14,Ace,Paperback,288,1988,1977,,2014/06/22,,,read,,,,,,,0,,,,,
297673,The Brief Wondrous Life of Oscar Wao,Junot Díaz,"Díaz, Junot",,"=""1594489580""","=""9781594489587""",5,3.89,Riverhead Books,Hardcover,335,2007,2007,,2014/06/22,,,read,,,,,,,0,,,,,
48757,The Tao of Pooh,Benjamin Hoff,"Hoff, Benjamin",Ernest H. Shepard,"=""1405204265""","=""9781405204262""",3,4.01,Egmont Books,Paperback,176,2003,1982,,2014/05/30,,,read,,,,,,,0,,,,,
363969,In the Devil's Garden: A Sinful History of Forbidden Food,Stewart Lee Allen,"Allen, Stewart Lee",,"=""0345440161""","=""9780345440167""",2,3.67,Ballantine Books,Paperback,354,2003,2002,,2014/05/22,,,read,,,,,,,0,,,,,
11095,The Working Poor: Invisible in America,David K. Shipler,"Shipler, David K.",,"=""0375708219""","=""9780375708213""",4,4.01,Vintage,Paperback,352,2005,2004,,2014/05/22,,,read,,,,,,,0,,,,,
7726420,How to Live Safely in a Science Fictional Universe,Charles Yu,"Yu, Charles",,"=""0307379205""","=""9780307379207""",3,3.38,Pantheon,Hardcover,233,2010,2010,,2014/05/22,,,read,,,,,,,0,,,,,
386187,Midnight in the Garden of Good and Evil,John Berendt,"Berendt, John",,"=""0679751521""","=""9780679751526""",3,3.90,Vintage Books,Paperback,386,1999,1994,,2014/05/04,,,read,,,,,,,0,,,,,
6452798,"Command and Control: Nuclear Weapons, the Damascus Accident, and the Illusion of Safety",Eric Schlosser,"Schlosser, Eric",,"=""1594202273""","=""9781594202278""",4,4.22,Penguin Press,Hardcover,656,2013,2009,,2014/05/04,,,read,,,,,,,0,,,,,
17332361,The Night Guest,Fiona McFarlane,"McFarlane, Fiona",,"=""0865477736""","=""9780865477735""",0,3.45,"Farrar, Straus and Giroux",Hardcover,256,2013,2013,,2014/04/26,to-read,to-read (#15),to-read,,,,,,,0,,,,,
